Comparision	Asset'),)	Product'),)	ProductionSystemModelData'),)	Certification'),)	Safety'),)	Lifecycle_Status'),)	Station'),)	ProductionLifeCycleDataManagement'),)	WorkCenter'),)	SCM'),)	Security'),)	Security'),)	InformationLayer'),)	FunctionalViewpoint'),)	TansportLayer'),)	Communication'),)	SystemLayer'),)	ControlDevice'),)	FieldDevice'),)	ModelingPractice'),)	Security'),)	Functional'),)	Integration'),)	Configuration'),)	ProductModelDataExchange'),)	Information'),)	Engineering'),)	Safety'),)	DeviceLevel'),)	Connectivity'),)	NetworkLayer'),)	Privacy'),)	Enterprise'),)	ProductLifeCycleManagement'),)	IIRC'),)	FrameworkLayer'),)	ManufacturingModelData'),)	Business'),)	ProductionSystemEngineering'),)	ConditionMonitoring'),)	FiwareSecurity'),)	Other'),)	InformationDomain'),)	DataSovereignty'),)	ProductCatalogData'),)	CrossLevel'),)	OperationDomain'),)	ConnectedWorld'),)	Communication'),)	ApplicationDomain'),)	SCADALevel'),)	Interoperability'),)	EnergyEfficiency'),)	Safety'),)	ProcessPlanning'),)	Identification'),)	BusinessProcessExecution'),)	EnterpriseLevel'),)
cluster-0	0.4	0.42105263157894735	0.6	0.4117647058823529	0.6666666666666666	0.75	0.36363636363636365	0.0	0.5	0.5	0.3	0.25	0.5	0.0	0.3333333333333333	0.1111111111111111	0.2	0.23529411764705882	0.14285714285714285	0.3333333333333333	0.0	0.25	0.5	0.2	0.0	0.25	0.42857142857142855	0.5714285714285714	0.0	0.0	0.0	0.16666666666666666	0.5555555555555556	0.5	1.0	0.6666666666666666	0.0	0.5	0.6666666666666666	0.75	0.3333333333333333	0.0	0.0	0.2	0.5	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.3333333333333333	0.3333333333333333	0.5
cluster-1	0.3	0.21052631578947367	0.0	0.29411764705882354	0.2222222222222222	0.25	0.18181818181818182	1.0	0.2	0.0	0.35	0.4166666666666667	0.5	0.0	0.16666666666666666	0.3333333333333333	0.0	0.29411764705882354	0.35714285714285715	0.3333333333333333	0.25	0.25	0.16666666666666666	0.4	0.6666666666666666	0.25	0.21428571428571427	0.14285714285714285	1.0	0.0	0.0	0.5	0.1111111111111111	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.2	0.0	0.3333333333333333	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0
cluster-2	0.3	0.3684210526315789	0.4	0.29411764705882354	0.1111111111111111	0.0	0.45454545454545453	0.0	0.3	0.5	0.35	0.3333333333333333	0.0	1.0	0.5	0.5555555555555556	0.8	0.47058823529411764	0.5	0.3333333333333333	0.75	0.5	0.3333333333333333	0.4	0.3333333333333333	0.5	0.35714285714285715	0.2857142857142857	0.0	1.0	1.0	0.3333333333333333	0.3333333333333333	0.5	0.0	0.3333333333333333	0.0	0.5	0.3333333333333333	0.25	0.3333333333333333	1.0	1.0	0.6	0.5	0.6666666666666666	0.5	0.3333333333333333	1.0	1.0	1.0	1.0	1.0	0.25	1.0	0.6666666666666666	0.6666666666666666	0.5
pop_stand	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
