Comparision	OMG'),)	VDI'),)	IEC'),)	MTConnect_Institute'),)	ETSI'),)	DIN'),)	IETF'),)	ISO'),)	OASIS'),)	IBM'),)	APICS'),)	OPC_Foundation'),)	MESA'),)	W3C'),)	eClassAssoc'),)	ANSI'),)	ISA'),)	BBF'),)	IEEE'),)
cluster-0	1.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
cluster-1	0.0	0.0	0.0	1.0	0.3333333333333333	0.5	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
cluster-2	0.0	1.0	1.0	0.0	0.6666666666666666	0.5	0.3333333333333333	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
pop_stand	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
